RESULT IS: FRAME ID 1940, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1943, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1945, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1947, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1950, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1952, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2041, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2045, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2048, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2051, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2054, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2057, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2060, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2156, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2158, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2162, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2166, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2169, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2172, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2267, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2270, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2272, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2276, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2279, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2282, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2368, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2371, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2373, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2376, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2380, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2383, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2475, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2478, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2481, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2485, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2496, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2589, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2594, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2597, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2599, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2602, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2605, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2608, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 2700, LANDMARK.NO_LANDMARK, FRAME None
